read,bitstring,energy,feasible,assignment,processing,workload,ergonomic,safety,original_cost,assignment_penalty,skill_penalty,robot_utilization_penalty,total_penalty,total_cost
74,010001100001,23.1,True,"{'O11': ['R'], 'O12': ['M'], 'O21': ['H'], 'O22': ['M']}",18,2.0,2.0999999999999996,1.0,23.1,0,0,0,0,23.1
75,001001010001,18.0,True,"{'O11': ['M'], 'O12': ['M'], 'O21': ['R'], 'O22': ['M']}",16,0.0,0.0,2.0,18.0,0,0,0,0,18.0
76,001001010001,18.0,True,"{'O11': ['M'], 'O12': ['M'], 'O21': ['R'], 'O22': ['M']}",16,0.0,0.0,2.0,18.0,0,0,0,0,18.0
77,010001100001,23.1,True,"{'O11': ['R'], 'O12': ['M'], 'O21': ['H'], 'O22': ['M']}",18,2.0,2.0999999999999996,1.0,23.1,0,0,0,0,23.1
78,100001010001,19.900000000000006,True,"{'O11': ['H'], 'O12': ['M'], 'O21': ['R'], 'O22': ['M']}",15,1.5,1.4,2.0,19.9,0,0,0,0,19.9
79,100001010100,28.199999999999996,True,"{'O11': ['H'], 'O12': ['M'], 'O21': ['R'], 'O22': ['H']}",18,4.0,4.199999999999999,2.0,28.2,0,0,0,0,28.2
80,010001100001,23.1,True,"{'O11': ['R'], 'O12': ['M'], 'O21': ['H'], 'O22': ['M']}",18,2.0,2.0999999999999996,1.0,23.1,0,0,0,0,23.1
81,001001010001,18.0,True,"{'O11': ['M'], 'O12': ['M'], 'O21': ['R'], 'O22': ['M']}",16,0.0,0.0,2.0,18.0,0,0,0,0,18.0
82,001001100100,34.400000000000006,True,"{'O11': ['M'], 'O12': ['M'], 'O21': ['H'], 'O22': ['H']}",20,4.5,4.8999999999999995,0.0,29.4,0,0,5,5,34.4
83,100001100001,28.0,True,"{'O11': ['H'], 'O12': ['M'], 'O21': ['H'], 'O22': ['M']}",16,3.5,3.5,0.0,23.0,0,0,5,5,28.0
84,100001010100,28.199999999999996,True,"{'O11': ['H'], 'O12': ['M'], 'O21': ['R'], 'O22': ['H']}",18,4.0,4.199999999999999,2.0,28.2,0,0,0,0,28.2
85,001001010001,18.0,True,"{'O11': ['M'], 'O12': ['M'], 'O21': ['R'], 'O22': ['M']}",16,0.0,0.0,2.0,18.0,0,0,0,0,18.0
86,100001010001,19.900000000000006,True,"{'O11': ['H'], 'O12': ['M'], 'O21': ['R'], 'O22': ['M']}",15,1.5,1.4,2.0,19.9,0,0,0,0,19.9
87,010001100100,31.4,True,"{'O11': ['R'], 'O12': ['M'], 'O21': ['H'], 'O22': ['H']}",21,4.5,4.8999999999999995,1.0,31.4,0,0,0,0,31.4
88,001001010001,18.0,True,"{'O11': ['M'], 'O12': ['M'], 'O21': ['R'], 'O22': ['M']}",16,0.0,0.0,2.0,18.0,0,0,0,0,18.0
89,001001010001,18.0,True,"{'O11': ['M'], 'O12': ['M'], 'O21': ['R'], 'O22': ['M']}",16,0.0,0.0,2.0,18.0,0,0,0,0,18.0
90,100001010001,19.900000000000006,True,"{'O11': ['H'], 'O12': ['M'], 'O21': ['R'], 'O22': ['M']}",15,1.5,1.4,2.0,19.9,0,0,0,0,19.9
91,010001100001,23.1,True,"{'O11': ['R'], 'O12': ['M'], 'O21': ['H'], 'O22': ['M']}",18,2.0,2.0999999999999996,1.0,23.1,0,0,0,0,23.1
92,100001010001,19.900000000000006,True,"{'O11': ['H'], 'O12': ['M'], 'O21': ['R'], 'O22': ['M']}",15,1.5,1.4,2.0,19.9,0,0,0,0,19.9
93,001001010001,18.0,True,"{'O11': ['M'], 'O12': ['M'], 'O21': ['R'], 'O22': ['M']}",16,0.0,0.0,2.0,18.0,0,0,0,0,18.0
94,010001100001,23.1,True,"{'O11': ['R'], 'O12': ['M'], 'O21': ['H'], 'O22': ['M']}",18,2.0,2.0999999999999996,1.0,23.1,0,0,0,0,23.1
95,100001010001,19.900000000000006,True,"{'O11': ['H'], 'O12': ['M'], 'O21': ['R'], 'O22': ['M']}",15,1.5,1.4,2.0,19.9,0,0,0,0,19.9
96,001001010001,18.0,True,"{'O11': ['M'], 'O12': ['M'], 'O21': ['R'], 'O22': ['M']}",16,0.0,0.0,2.0,18.0,0,0,0,0,18.0
97,100001010001,19.900000000000006,True,"{'O11': ['H'], 'O12': ['M'], 'O21': ['R'], 'O22': ['M']}",15,1.5,1.4,2.0,19.9,0,0,0,0,19.9
98,001001010001,18.0,True,"{'O11': ['M'], 'O12': ['M'], 'O21': ['R'], 'O22': ['M']}",16,0.0,0.0,2.0,18.0,0,0,0,0,18.0
99,010001100100,31.4,True,"{'O11': ['R'], 'O12': ['M'], 'O21': ['H'], 'O22': ['H']}",21,4.5,4.8999999999999995,1.0,31.4,0,0,0,0,31.4
