config_name,read,bitstring,energy,is_optimum,feasible,assignment,processing,workload,ergonomic,safety,original_cost,assignment_penalty,skill_penalty,robot_utilization_penalty,total_penalty,total_cost
steps_100_T10_to_001,56,100001100001,28.0,False,True,"{'O11': ['H'], 'O12': ['M'], 'O21': ['H'], 'O22': ['M']}",16,3.5,3.5,0.0,23.0,0,0,5,5,28.0
steps_100_T10_to_001,57,100001100001,28.0,False,True,"{'O11': ['H'], 'O12': ['M'], 'O21': ['H'], 'O22': ['M']}",16,3.5,3.5,0.0,23.0,0,0,5,5,28.0
steps_100_T10_to_001,58,010001010001,25.0,False,True,"{'O11': ['R'], 'O12': ['M'], 'O21': ['R'], 'O22': ['M']}",17,0.0,0.0,3.0,20.0,0,0,5,5,25.0
steps_100_T10_to_001,59,010001100001,23.1,False,True,"{'O11': ['R'], 'O12': ['M'], 'O21': ['H'], 'O22': ['M']}",18,2.0,2.0999999999999996,1.0,23.1,0,0,0,0,23.1
steps_100_T10_to_001,60,100100010001,32.0,False,True,"{'O11': ['H'], 'O12': ['H'], 'O21': ['R'], 'O22': ['M']}",18,5.0,7.0,2.0,32.0,0,0,0,0,32.0
steps_100_T10_to_001,61,001001100001,26.1,False,True,"{'O11': ['M'], 'O12': ['M'], 'O21': ['H'], 'O22': ['M']}",17,2.0,2.0999999999999996,0.0,21.1,0,0,5,5,26.1
steps_100_T10_to_001,62,001100010001,30.1,False,True,"{'O11': ['M'], 'O12': ['H'], 'O21': ['R'], 'O22': ['M']}",19,3.5,5.6,2.0,30.1,0,0,0,0,30.1
steps_100_T10_to_001,63,100100010100,40.300000000000004,False,True,"{'O11': ['H'], 'O12': ['H'], 'O21': ['R'], 'O22': ['H']}",21,7.5,9.799999999999999,2.0,40.3,0,0,0,0,40.3
steps_100_T10_to_001,64,100100010001,32.0,False,True,"{'O11': ['H'], 'O12': ['H'], 'O21': ['R'], 'O22': ['M']}",18,5.0,7.0,2.0,32.0,0,0,0,0,32.0
steps_100_T10_to_001,65,100100100001,40.1,False,True,"{'O11': ['H'], 'O12': ['H'], 'O21': ['H'], 'O22': ['M']}",19,7.0,9.1,0.0,35.1,0,0,5,5,40.1
steps_100_T10_to_001,66,001100010100,38.400000000000006,False,True,"{'O11': ['M'], 'O12': ['H'], 'O21': ['R'], 'O22': ['H']}",22,6.0,8.399999999999999,2.0,38.4,0,0,0,0,38.4
steps_100_T10_to_001,67,001100100100,46.5,False,True,"{'O11': ['M'], 'O12': ['H'], 'O21': ['H'], 'O22': ['H']}",23,8.0,10.5,0.0,41.5,0,0,5,5,46.5
steps_100_T10_to_001,68,010100100001,35.2,False,True,"{'O11': ['R'], 'O12': ['H'], 'O21': ['H'], 'O22': ['M']}",21,5.5,7.699999999999999,1.0,35.2,0,0,0,0,35.2
steps_100_T10_to_001,69,010100100001,35.2,False,True,"{'O11': ['R'], 'O12': ['H'], 'O21': ['H'], 'O22': ['M']}",21,5.5,7.699999999999999,1.0,35.2,0,0,0,0,35.2
steps_100_T10_to_001,70,100100010100,40.300000000000004,False,True,"{'O11': ['H'], 'O12': ['H'], 'O21': ['R'], 'O22': ['H']}",21,7.5,9.799999999999999,2.0,40.3,0,0,0,0,40.3
steps_100_T10_to_001,71,001001010001,18.0,True,True,"{'O11': ['M'], 'O12': ['M'], 'O21': ['R'], 'O22': ['M']}",16,0.0,0.0,2.0,18.0,0,0,0,0,18.0
steps_100_T10_to_001,72,001100010001,30.1,False,True,"{'O11': ['M'], 'O12': ['H'], 'O21': ['R'], 'O22': ['M']}",19,3.5,5.6,2.0,30.1,0,0,0,0,30.1
steps_100_T10_to_001,73,100001100001,28.0,False,True,"{'O11': ['H'], 'O12': ['M'], 'O21': ['H'], 'O22': ['M']}",16,3.5,3.5,0.0,23.0,0,0,5,5,28.0
