bitstring,bitstring_tuple,bitstring_excel,feasible,assignment,processing,workload,ergonomic,safety,original_cost,assignment_penalty,skill_penalty,robot_utilization_penalty,total_penalty,total_cost
000001010010,"(0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0)","=""000001010010""",False,"{'O11': [], 'O12': ['M'], 'O21': ['R'], 'O22': ['R']}",15,0.0,0.0,2.0,17.0,20,20,5,45,62.0
001001001010,"(0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0)","=""001001001010""",False,"{'O11': ['M'], 'O12': ['M'], 'O21': ['M'], 'O22': ['R']}",22,0.0,0.0,0.0,22.0,0,40,0,40,62.0
000001110001,"(0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1)","=""000001110001""",False,"{'O11': [], 'O12': ['M'], 'O21': ['H', 'R'], 'O22': ['M']}",16,2.0,2.0999999999999996,2.0,22.1,40,0,0,40,62.1
000100010000,"(0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0)","=""000100010000""",False,"{'O11': [], 'O12': ['H'], 'O21': ['R'], 'O22': []}",11,3.5,5.6,2.0,22.1,40,0,0,40,62.1
011100010001,"(0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1)","=""011100010001""",False,"{'O11': ['R', 'M'], 'O12': ['H'], 'O21': ['R'], 'O22': ['M']}",25,3.5,5.6,3.0,37.1,20,0,5,25,62.1
110100100001,"(1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1)","=""110100100001""",False,"{'O11': ['H', 'R'], 'O12': ['H'], 'O21': ['H'], 'O22': ['M']}",25,7.0,9.1,1.0,42.1,20,0,0,20,62.1
001101100001,"(0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1)","=""001101100001""",False,"{'O11': ['M'], 'O12': ['H', 'M'], 'O21': ['H'], 'O22': ['M']}",24,5.5,7.699999999999999,0.0,37.2,20,0,5,25,62.2
001101010100,"(0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0)","=""001101010100""",False,"{'O11': ['M'], 'O12': ['H', 'M'], 'O21': ['R'], 'O22': ['H']}",26,6.0,8.399999999999999,2.0,42.4,20,0,0,20,62.4
010001110100,"(0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0)","=""010001110100""",False,"{'O11': ['R'], 'O12': ['M'], 'O21': ['H', 'R'], 'O22': ['H']}",25,4.5,4.8999999999999995,3.0,37.4,20,0,5,25,62.4
100010010000,"(1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0)","=""100010010000""",False,"{'O11': ['H'], 'O12': ['R'], 'O21': ['R'], 'O22': []}",13,1.5,1.4,2.0,17.9,20,20,5,45,62.9
