human_reward,lambda_target,human_assignments_mean,human_assignments_std,human_assignments_min,human_assignments_max,distance_from_target_mean,distance_from_target_std,distance_from_target_min,distance_from_target_max,squared_deviation_mean,squared_deviation_std,squared_deviation_min,squared_deviation_max,total_cost_without_reward_mean,total_cost_without_reward_std,total_cost_without_reward_min,total_cost_without_reward_max,adjusted_objective_manual_mean,adjusted_objective_manual_std,adjusted_objective_manual_min,adjusted_objective_manual_max,workload_mean,workload_std,workload_min,workload_max,ergonomic_mean,ergonomic_std,ergonomic_min,ergonomic_max,wall_seconds_mean,wall_seconds_std,wall_seconds_min,wall_seconds_max
1.0,0.5,2.9,0.316227766016838,2,3,1.1,0.31622776601683794,1,2,1.3,0.9486832980505138,1,4,51.57000000000001,1.4055841015985737,50.150000000000006,54.05,49.32,1.3460229484588215,47.84999999999999,51.55,3.2,0.5868938953886336,2.0,4.0,1.92,0.25298221281347033,1.5,2.4,2.250139260292053,0.05826959214179606,2.1640307903289795,2.361603021621704
1.0,1.0,3.0,0.0,3,3,1.0,0.0,1,1,1.0,0.0,1,1,51.82000000000001,1.346022948458823,50.34999999999999,54.05,49.82,1.346022948458823,48.34999999999999,52.05,3.3,0.42163702135578385,3.0,4.0,2.01,0.24698178070456947,1.7999999999999998,2.4,2.2881524562835693,0.09576638184476807,2.1895110607147217,2.539957046508789
1.0,2.0,4.0,0.0,4,4,0.0,0.0,0,0,0.0,0.0,0,0,54.30499999999999,1.466751891463282,52.60000000000001,56.74999999999999,50.305,1.466751891463282,48.60000000000001,52.74999999999999,4.55,0.4972144630058766,4.0,5.5,2.85,0.43011626335213127,2.4,3.5999999999999996,2.2702316522598265,0.059071325860171664,2.1760129928588867,2.38763689994812
1.0,3.0,4.0,0.0,4,4,0.0,0.0,0,0,0.0,0.0,0,0,54.30499999999999,1.466751891463282,52.60000000000001,56.74999999999999,50.305,1.466751891463282,48.60000000000001,52.74999999999999,4.5,0.5270462766947299,4.0,5.5,2.82,0.40496913462633155,2.4,3.5999999999999996,2.2665502786636353,0.06609272560075362,2.177891969680786,2.404405117034912
2.0,0.0,1.5,0.8498365855987975,0,3,2.5,0.8498365855987975,1,4,6.9,4.332051092342595,1,16,48.475,1.8997441348186295,46.05,50.55,45.475,1.2728467656748368,44.05,47.55,1.5,0.8498365855987975,0.0,3.0,0.96,0.5253570214625479,0.0,1.7999999999999998,2.1569204330444336,0.0765920606685172,2.037921905517578,2.293248176574707
2.0,0.1,2.7,0.48304589153964794,2,3,1.3,0.48304589153964794,1,2,1.9,1.4491376746189437,1,4,51.1,1.485859272534844,48.2,53.2,45.89,1.3440816774123314,44.44999999999999,48.14999999999999,2.95,0.7619419633774974,2.0,4.0,1.8,0.28284271247461906,1.2,2.1,2.2180719137191773,0.05303056728842146,2.1499829292297363,2.31207013130188
2.0,0.25,3.0,0.0,3,3,1.0,0.0,1,1,1.0,0.0,1,1,51.82000000000001,1.3460229484588215,50.34999999999999,54.05,46.07,1.3460229484588215,44.59999999999999,48.3,3.3,0.42163702135578385,3.0,4.0,2.01,0.24698178070456947,1.7999999999999998,2.4,2.2020730495452883,0.03796427340414383,2.1409101486206055,2.249959945678711
2.0,0.5,3.6,0.5163977794943223,3,4,0.4,0.5163977794943222,0,1,0.4,0.5163977794943222,0,1,53.245000000000005,1.2329841848134164,50.9,55.150000000000006,46.245,1.405633506841508,44.60000000000001,48.55,4.05,0.724568837309472,3.0,5.0,2.52,0.3794733192202056,2.1,3.3,2.2098180532455443,0.04860910801934592,2.141280174255371,2.296333074569702
2.0,1.0,4.0,0.0,4,4,0.0,0.0,0,0,0.0,0.0,0,0,54.30499999999999,1.466751891463282,52.60000000000001,56.74999999999999,46.305,1.466751891463282,44.60000000000001,48.74999999999999,4.5,0.5270462766947299,4.0,5.5,2.82,0.40496913462633155,2.4,3.5999999999999996,2.1985334157943726,0.07406036619363676,2.064564943313598,2.316244840621948
2.0,2.0,4.0,0.0,4,4,0.0,0.0,0,0,0.0,0.0,0,0,54.30499999999999,1.466751891463282,52.60000000000001,56.74999999999999,46.305,1.466751891463282,44.60000000000001,48.74999999999999,4.55,0.4972144630058766,4.0,5.5,2.85,0.43011626335213127,2.4,3.5999999999999996,2.195803093910217,0.06750697928165741,2.0676259994506836,2.299916982650757
