config_name,read,bitstring,energy,feasible,num_violations,zero_penalty,reference_or_better,processing,start_time,workload,ergonomic,safety,original_cost,assignment_start_penalty,skill_penalty,horizon_penalty,precedence_penalty,resource_overlap_penalty,robot_utilization_penalty,total_penalty,total_cost,schedule
steps_10000_T50_to_001,114,000000000000001000000000000000000100000000010000000000000000000000000001,20.19999999999999,True,0,True,False,16.0,2.2,0.0,0.0,2.0,20.2,0.0,0.0,0.0,0.0,0.0,0,0.0,20.2,"{'O11': [{'resource': 'M', 'start': 2, 'duration': 1, 'end': 3}], 'O12': [{'resource': 'M', 'start': 3, 'duration': 2, 'end': 5}], 'O21': [{'resource': 'R', 'start': 1, 'duration': 2, 'end': 3}], 'O22': [{'resource': 'M', 'start': 5, 'duration': 1, 'end': 6}]}"
steps_10000_T50_to_001,115,000000000000100000000000000000001000000000100000000000000000000000000010,19.19999999999999,True,0,True,False,16.0,1.2000000000000002,0.0,0.0,2.0,19.2,0.0,0.0,0.0,0.0,0.0,0,0.0,19.2,"{'O11': [{'resource': 'M', 'start': 0, 'duration': 1, 'end': 1}], 'O12': [{'resource': 'M', 'start': 2, 'duration': 2, 'end': 4}], 'O21': [{'resource': 'R', 'start': 0, 'duration': 2, 'end': 2}], 'O22': [{'resource': 'M', 'start': 4, 'duration': 1, 'end': 5}]}"
steps_10000_T50_to_001,116,000000010000000000000000000000000010100000000000000000000000000000001000,24.5,True,0,True,False,18.0,1.4,2.0,2.0999999999999996,1.0,24.5,0.0,0.0,0.0,0.0,0.0,0,0.0,24.5,"{'O11': [{'resource': 'R', 'start': 1, 'duration': 2, 'end': 3}], 'O12': [{'resource': 'M', 'start': 4, 'duration': 2, 'end': 6}], 'O21': [{'resource': 'H', 'start': 0, 'duration': 1, 'end': 1}], 'O22': [{'resource': 'M', 'start': 2, 'duration': 1, 'end': 3}]}"
steps_10000_T50_to_001,117,000000000000100000000010000000000000000000100000000000000000000000000100,31.5,True,0,True,False,19.0,1.4000000000000001,3.5,5.6,2.0,31.5,0.0,0.0,0.0,0.0,0.0,0,0.0,31.5,"{'O11': [{'resource': 'M', 'start': 0, 'duration': 1, 'end': 1}], 'O12': [{'resource': 'H', 'start': 4, 'duration': 2, 'end': 6}], 'O21': [{'resource': 'R', 'start': 0, 'duration': 2, 'end': 2}], 'O22': [{'resource': 'M', 'start': 3, 'duration': 1, 'end': 4}]}"
steps_10000_T50_to_001,118,000000000000100000000000000000000100000000000100000000000000000000000001,20.19999999999999,True,0,True,False,16.0,2.2,0.0,0.0,2.0,20.2,0.0,0.0,0.0,0.0,0.0,0,0.0,20.2,"{'O11': [{'resource': 'M', 'start': 0, 'duration': 1, 'end': 1}], 'O12': [{'resource': 'M', 'start': 3, 'duration': 2, 'end': 5}], 'O21': [{'resource': 'R', 'start': 3, 'duration': 2, 'end': 5}], 'O22': [{'resource': 'M', 'start': 5, 'duration': 1, 'end': 6}]}"
steps_10000_T50_to_001,119,000000000000010000000000000000001000000000001000000000000010000000000000,28.100000000000023,True,0,True,False,19.0,1.8,2.5,2.8,2.0,28.1,0.0,0.0,0.0,0.0,0.0,0,0.0,28.1,"{'O11': [{'resource': 'M', 'start': 1, 'duration': 1, 'end': 2}], 'O12': [{'resource': 'M', 'start': 2, 'duration': 2, 'end': 4}], 'O21': [{'resource': 'R', 'start': 2, 'duration': 2, 'end': 4}], 'O22': [{'resource': 'H', 'start': 4, 'duration': 2, 'end': 6}]}"
steps_10000_T50_to_001,120,010000000000000000000000000000000010000000100000000000000000000000000100,21.5,True,0,True,False,15.0,1.6,1.5,1.4,2.0,21.5,0.0,0.0,0.0,0.0,0.0,0,0.0,21.5,"{'O11': [{'resource': 'H', 'start': 1, 'duration': 2, 'end': 3}], 'O12': [{'resource': 'M', 'start': 4, 'duration': 2, 'end': 6}], 'O21': [{'resource': 'R', 'start': 0, 'duration': 2, 'end': 2}], 'O22': [{'resource': 'M', 'start': 3, 'duration': 1, 'end': 4}]}"
steps_10000_T50_to_001,121,000000000000100000000000000000000010100000000000000000000000000000001000,27.30000000000001,True,0,False,False,17.0,1.2000000000000002,2.0,2.0999999999999996,0.0,22.299999999999997,0.0,0.0,0.0,0.0,0.0,5,5.0,27.299999999999997,"{'O11': [{'resource': 'M', 'start': 0, 'duration': 1, 'end': 1}], 'O12': [{'resource': 'M', 'start': 4, 'duration': 2, 'end': 6}], 'O21': [{'resource': 'H', 'start': 0, 'duration': 1, 'end': 1}], 'O22': [{'resource': 'M', 'start': 2, 'duration': 1, 'end': 3}]}"
steps_10000_T50_to_001,122,000000000000010000000000000000000100000000100000000000000000000000000001,19.80000000000001,True,0,True,False,16.0,1.8,0.0,0.0,2.0,19.8,0.0,0.0,0.0,0.0,0.0,0,0.0,19.8,"{'O11': [{'resource': 'M', 'start': 1, 'duration': 1, 'end': 2}], 'O12': [{'resource': 'M', 'start': 3, 'duration': 2, 'end': 5}], 'O21': [{'resource': 'R', 'start': 0, 'duration': 2, 'end': 2}], 'O22': [{'resource': 'M', 'start': 5, 'duration': 1, 'end': 6}]}"
steps_10000_T50_to_001,123,000000000000001000000000000000000100100000000000000000000000000000000001,28.099999999999994,True,0,False,False,17.0,2.0,2.0,2.0999999999999996,0.0,23.1,0.0,0.0,0.0,0.0,0.0,5,5.0,28.1,"{'O11': [{'resource': 'M', 'start': 2, 'duration': 1, 'end': 3}], 'O12': [{'resource': 'M', 'start': 3, 'duration': 2, 'end': 5}], 'O21': [{'resource': 'H', 'start': 0, 'duration': 1, 'end': 1}], 'O22': [{'resource': 'M', 'start': 5, 'duration': 1, 'end': 6}]}"
