best_energy,best_bitstring,final_energy,accepted_moves,restart,gap_to_bruteforce,matches_bruteforce_energy,matches_bruteforce_bitstring
6.5,001000000010000,6.499999999999972,23,113,1.2000000000000002,False,False
6.100000000000001,100000000010000,6.099999999999909,6,114,0.8000000000000016,False,False
5.5,100000000000010,5.499999999999986,8,115,0.20000000000000018,False,False
7.5,000001000000001,7.49999999999995,7,116,2.2,False,False
5.5,100000000000010,5.5000000000001705,6,117,0.20000000000000018,False,False
5.899999999999999,000001000010000,5.899999999999885,13,118,0.5999999999999988,False,False
6.5,001000000010000,6.500000000000007,5,119,1.2000000000000002,False,False
6.100000000000001,100000000010000,6.099999999999838,8,120,0.8000000000000016,False,False
5.699999999999999,100000001000000,5.700000000000024,5,121,0.39999999999999947,False,False
5.700000000000003,000010000010000,5.70000000000001,7,122,0.400000000000003,False,False
5.899999999999999,100000000100000,5.899999999999963,9,123,0.5999999999999988,False,False
5.700000000000003,010000000000010,5.699999999999999,6,124,0.400000000000003,False,False
5.899999999999999,100000000100000,5.899999999999963,6,125,0.5999999999999988,False,False
7.300000000000004,000010000000001,7.300000000000047,4,126,2.0000000000000044,False,False
5.5,000010000100000,5.5000000000000355,7,127,0.20000000000000018,False,False
5.699999999999999,100000001000000,5.700000000000113,7,128,0.39999999999999947,False,False
6.100000000000001,010000000100000,6.0999999999999766,20,129,0.8000000000000016,False,False
5.899999999999999,000001000010000,5.900000000000041,8,130,0.5999999999999988,False,False
5.899999999999999,100000000100000,5.900000000000055,8,131,0.5999999999999988,False,False
5.700000000000003,100000000000001,5.6999999999999815,6,132,0.400000000000003,False,False
5.5,100000000000010,5.4999999999999645,13,133,0.20000000000000018,False,False
5.300000000000001,100000000000100,5.300000000000004,3,134,8.881784197001252e-16,True,True
6.100000000000001,100000000010000,6.100000000000094,6,135,0.8000000000000016,False,False
5.899999999999999,000001000010000,5.900000000000009,4,136,0.5999999999999988,False,False
5.899999999999999,000001000010000,5.8999999999998565,10,137,0.5999999999999988,False,False
6.100000000000001,001000000000001,6.100000000000136,9,138,0.8000000000000016,False,False
5.300000000000001,100000000000100,5.3000000000000504,7,139,8.881784197001252e-16,True,True
7.300000000000004,000010000000001,7.300000000000047,6,140,2.0000000000000044,False,False
6.100000000000001,100000000010000,6.1000000000000085,6,141,0.8000000000000016,False,False
6.5,001000000010000,6.500000000000078,7,142,1.2000000000000002,False,False
5.700000000000003,010000000000010,5.700000000000003,4,143,0.400000000000003,False,False
5.5,000010000100000,5.499999999999808,10,144,0.20000000000000018,False,False
5.699999999999999,100000001000000,5.699999999999825,9,145,0.39999999999999947,False,False
5.899999999999999,000001000010000,5.900000000000055,14,146,0.5999999999999988,False,False
7.300000000000004,000010000000001,7.3000000000000895,6,147,2.0000000000000044,False,False
5.900000000000006,010000000000001,5.899999999999945,5,148,0.6000000000000059,False,False
5.700000000000003,010000000000010,5.700000000000003,8,149,0.400000000000003,False,False
6.100000000000001,001000000000001,6.099999999999945,13,150,0.8000000000000016,False,False
7.100000000000001,000010000000010,7.100000000000001,10,151,1.8000000000000016,False,False
